sku,brand,name,gross_weight,dimension_length,dimension_width,dimension_height,dimension_uom,volume
1001002835-1994409,BOSSARD,HEX SOC HEAD LOCKING SCRW M6x16 1994409 ,1.030,255,255,95,MM,6177.375
1001002835-1994433,BOSSARD,HEX SOC HEAD LOCKING SCRW M6x30 1994433 ,1.030,255,255,95,MM,6177.375
1001002835-1994476,BOSSARD,HEX SOC HEAD LOCKING SCRW M8x20 1994476 ,1.030,255,255,95,MM,6177.375
1001002835-1199412,BOSSARD,HEX SOC HEAD CAP SCREW M6x20 1199412 ,1.030,255,255,95,MM,6177.375
1001002835-1199153,BOSSARD,HEX SOC HEAD CAP SCREW M5x14 1199153 ,1.030,255,255,95,MM,6177.375
1001002835-1199188,BOSSARD,HEX SOC HEAD CAP SCREW M5x18 1199188 ,1.030,255,255,95,MM,6177.375
1001002835-1199439,BOSSARD,HEX SOC HEAD CAP SCREW M6x25 1199439 ,1.030,255,255,95,MM,6177.375
1001002835-1199498,BOSSARD,HEX SOC HEAD CAP SCREW M8x16 1199498 ,1.030,255,255,95,MM,6177.375
1001002835-1199528,BOSSARD,HEX SOC HEAD CAP SCREW M8x20 1199528 ,1.030,255,255,95,MM,6177.375
1001002835-1005278,BOSSARD,HEX SOC HEAD CAP SCREW M12x110 1005278 ,1.030,255,255,95,MM,6177.375
1001002835-1005391,BOSSARD,HEX SOC HEAD CAP SCREW M14x60 1005391 ,1.030,255,255,95,MM,6177.375
1001002835-1005596,BOSSARD,HEX SOC HEAD CAP SCREW M16x70 1005596 ,1.030,255,255,95,MM,6177.375
1001002835-1005626,BOSSARD,HEX SOC HEAD CAP SCREW M16x90 1005626 ,1.030,255,255,95,MM,6177.375
1001002835-1005634,BOSSARD,HEX SOC HEAD CAP SCREW M16x100 1005634 ,1.030,255,255,95,MM,6177.375
1001002835-1005898,BOSSARD,HEX SOC HEAD CAP SCREW M20x80 1005898 ,1.030,255,255,95,MM,6177.375
1001002835-1391631,BOSSARD,HEX SOC HEAD CAP SCREW M8x60 1391631 ,1.030,255,255,95,MM,6177.375
1001002835-1006169,BOSSARD,HEX SOC HEAD CAP SCREW M1.6x4 1006169 ,1.030,255,255,95,MM,6177.375
